// Log of inequalities that have been verified by interval arithmetic.
QED, ineq(4222324842), secs(1), svn(1969,57), Wed Sep  8 20:54:27 ICT 2010
QED, ineq(9641946727), secs(4), svn(1969,57), Wed Sep  8 20:54:34 ICT 2010
QED, ineq(2390583444), secs(0), svn(1969,57), Wed Sep  8 20:54:37 ICT 2010
QED, ineq(7291663656), secs(7), svn(1969,57), Wed Sep  8 20:54:47 ICT 2010
QED, ineq(6987934000), secs(1), svn(1969,57), Wed Sep  8 20:54:51 ICT 2010
QED, ineq(7819193535), secs(8), svn(1969,57), Wed Sep  8 20:55:02 ICT 2010
QED, ineq(8384511215), secs(8), svn(1969,57), Wed Sep  8 20:55:13 ICT 2010
QED, ineq(4750199435), secs(15), svn(1969,57), Wed Sep  8 20:55:32 ICT 2010
QED, ineq(1894886027), secs(2), svn(1969,57), Wed Sep  8 20:55:38 ICT 2010
QED, ineq(5835568093), secs(2), svn(1969,57), Wed Sep  8 20:55:43 ICT 2010
QED, ineq(4002562507), secs(2), svn(1969,57), Wed Sep  8 20:55:48 ICT 2010
QED, ineq(7409690040), secs(1), svn(1969,57), Wed Sep  8 20:55:54 ICT 2010
QED, ineq(9925287433), secs(1), svn(1969,57), Wed Sep  8 20:55:58 ICT 2010
QED, ineq(4841020453), secs(1), svn(1969,57), Wed Sep  8 20:56:02 ICT 2010
QED, ineq(3139693500), secs(2), svn(1969,57), Wed Sep  8 20:56:07 ICT 2010
QED, ineq(3872614111), secs(1), svn(1969,57), Wed Sep  8 20:56:11 ICT 2010
QED, ineq(4041673283), secs(2), svn(1969,57), Wed Sep  8 20:56:17 ICT 2010
QED, ineq(1284543870), secs(2), svn(1969,57), Wed Sep  8 20:56:22 ICT 2010
QED, ineq(6619134733), secs(1), svn(1969,57), Wed Sep  8 20:56:26 ICT 2010
QED, ineq(8657368829), secs(4), svn(1969,57), Wed Sep  8 20:56:33 ICT 2010
QED, ineq(7743522046), secs(3), svn(1969,57), Wed Sep  8 20:56:40 ICT 2010
QED, ineq(5298513205), secs(3), svn(1969,57), Wed Sep  8 20:56:47 ICT 2010
QED, ineq(3636849632), secs(122), svn(1969,57), Wed Sep  8 20:58:53 ICT 2010
QED, ineq(6836427086), secs(2), svn(1969,57), Wed Sep  8 20:58:59 ICT 2010
QED, ineq(2151506422), secs(7), svn(1969,57), Wed Sep  8 20:59:09 ICT 2010
QED, ineq(181212899 5), secs(0), svn(1969,57), Wed Sep  8 20:59:13 ICT 2010
QED, ineq(181212899 4), secs(1), svn(1969,57), Wed Sep  8 20:59:17 ICT 2010
QED, ineq(181212899 3), secs(1), svn(1969,57), Wed Sep  8 20:59:21 ICT 2010
QED, ineq(181212899 2), secs(1), svn(1969,57), Wed Sep  8 20:59:26 ICT 2010
QED, ineq(181212899 1), secs(11), svn(1969,57), Wed Sep  8 20:59:40 ICT 2010
QED, ineq(181212899 0), secs(10), svn(1969,57), Wed Sep  8 20:59:54 ICT 2010
QED, ineq(8611785756), secs(39), svn(1969,57), Wed Sep  8 21:00:38 ICT 2010
QED, ineq(8282573160), secs(249), svn(1969,57), Wed Sep  8 21:04:50 ICT 2010
