// 2012.  Started with the new version of nonlinear ineq prover.
QED, ineq(4041673283), secs(2),  cells(3402), svn(2866:2868,130), Tue Jun  5 18:14:11 ICT 2012
QED, ineq(1284543870), secs(1),  cells(2530), svn(2866:2868,130), Tue Jun  5 18:14:17 ICT 2012
QED, ineq(6619134733), secs(1),  cells(1190), svn(2866:2868,130), Tue Jun  5 18:14:23 ICT 2012
QED, ineq(8657368829), secs(2),  cells(5354), svn(2866:2868,130), Tue Jun  5 18:14:30 ICT 2012
QED, ineq(7743522046), secs(2),  cells(5676), svn(2866:2868,130), Tue Jun  5 18:14:37 ICT 2012
QED, ineq(5298513205), secs(2),  cells(5096), svn(2866:2868,130), Tue Jun  5 18:14:45 ICT 2012
QED, ineq(3636849632), secs(57),  cells(69592), svn(2866:2868,130), Tue Jun  5 18:15:49 ICT 2012
QED, ineq(6836427086), secs(1),  cells(2470), svn(2866:2868,130), Tue Jun  5 18:15:55 ICT 2012
QED, ineq(2151506422), secs(4),  cells(10838), svn(2866:2868,130), Tue Jun  5 18:16:04 ICT 2012
QED, ineq(181212899 5), secs(1),  cells(1800), svn(2866:2868,130), Tue Jun  5 18:16:10 ICT 2012
QED, ineq(181212899 4), secs(0),  cells(1826), svn(2866:2868,130), Tue Jun  5 18:16:15 ICT 2012
QED, ineq(181212899 3), secs(1),  cells(2014), svn(2866:2868,130), Tue Jun  5 18:16:21 ICT 2012
QED, ineq(181212899 2), secs(1),  cells(2078), svn(2866:2868,130), Tue Jun  5 18:16:27 ICT 2012
QED, ineq(181212899 1), secs(5),  cells(14188), svn(2866:2868,130), Tue Jun  5 18:16:37 ICT 2012
QED, ineq(181212899 0), secs(5),  cells(14302), svn(2866:2868,130), Tue Jun  5 18:16:50 ICT 2012
QED, ineq(8611785756), secs(17),  cells(27014), svn(2866:2868,130), Tue Jun  5 18:17:13 ICT 2012
QED, ineq(8282573160), secs(127),  cells(138936), svn(2866:2868,130), Tue Jun  5 18:19:26 ICT 2012
QED, ineq(4491491732), secs(87),  cells(96710), svn(2866:2868,130), Tue Jun  5 18:20:59 ICT 2012
QED, ineq(1550635295), secs(0),  cells(1672), svn(2866:2868,130), Tue Jun  5 18:21:06 ICT 2012
QED, ineq(9229542852), secs(1),  cells(3292), svn(2866:2868,130), Tue Jun  5 18:21:15 ICT 2012
QED, ineq(1085358243), secs(14),  cells(36744), svn(2866:2868,130), Tue Jun  5 18:21:35 ICT 2012
QED, ineq(3566713650), secs(2),  cells(5724), svn(2866:2868,130), Tue Jun  5 18:21:45 ICT 2012
QED, ineq(7718591733), secs(4),  cells(7500), svn(2866:2868,130), Tue Jun  5 18:21:55 ICT 2012
QED, ineq(7863247282), secs(251),  cells(271610), svn(2866:2868,130), Tue Jun  5 18:26:12 ICT 2012
QED, ineq(1642527039), secs(19),  cells(24854), svn(2866:2868,130), Tue Jun  5 18:26:37 ICT 2012
QED, ineq(4840774900), secs(115),  cells(138238), svn(2866:2868,130), Tue Jun  5 18:28:38 ICT 2012
QED, ineq(5451229371), secs(170),  cells(206834), svn(2866:2868,130), Tue Jun  5 18:31:34 ICT 2012
QED, ineq(6224332984), secs(58),  cells(96382), svn(2866:2868,130), Tue Jun  5 18:32:39 ICT 2012
QED, ineq(7761782916), secs(296),  cells(342348), svn(2866:2868,130), Tue Jun  5 18:37:41 ICT 2012
QED, ineq(9291937879), secs(3),  cells(7336), svn(2866:2868,130), Tue Jun  5 18:37:49 ICT 2012
QED, ineq(9225295803), secs(357),  cells(438274), svn(2866:2868,130), Tue Jun  5 18:43:51 ICT 2012
QED, ineq(7931207804), secs(240),  cells(293740), svn(2866:2868,130), Tue Jun  5 18:47:58 ICT 2012
QED, ineq(2563100177), secs(7),  cells(13886), svn(2866:2868,130), Tue Jun  5 18:48:09 ICT 2012
QED, ineq(5760733457), secs(4),  cells(13006), svn(2866:2868,130), Tue Jun  5 18:48:18 ICT 2012
QED, ineq(8082208587), secs(8),  cells(15916), svn(2866:2868,130), Tue Jun  5 18:48:31 ICT 2012
QED, ineq(9756015945), secs(8),  cells(16884), svn(2866:2868,130), Tue Jun  5 18:48:44 ICT 2012
QED, ineq(9251360200), secs(16),  cells(35884), svn(2866:2868,130), Tue Jun  5 18:49:04 ICT 2012
QED, ineq(5000076558), secs(6),  cells(15146), svn(2866:2868,130), Tue Jun  5 18:49:16 ICT 2012
QED, ineq(9922699028), secs(3),  cells(9370), svn(2866:2868,130), Tue Jun  5 18:49:26 ICT 2012
QED, ineq(3318775219), secs(8),  cells(25994), svn(2866:2868,130), Tue Jun  5 18:49:39 ICT 2012
QED, ineq(8248508703), secs(278),  cells(340426), svn(2866:2868,130), Tue Jun  5 18:54:22 ICT 2012
QED, ineq(6988401556), secs(13),  cells(26632), svn(2866:2868,130), Tue Jun  5 18:54:40 ICT 2012
QED, ineq(9995621667), secs(5),  cells(14802), svn(2866:2868,130), Tue Jun  5 18:54:50 ICT 2012
QED, ineq(9414951439), secs(2),  cells(8070), svn(2866:2868,130), Tue Jun  5 18:54:57 ICT 2012
QED, ineq(3020140039), secs(1),  cells(3726), svn(2866:2868,130), Tue Jun  5 18:55:04 ICT 2012
QED, ineq(5957966880), secs(11),  cells(27172), svn(2866:2868,130), Tue Jun  5 18:55:22 ICT 2012
QED, ineq(3526497018), secs(6),  cells(20454), svn(2866:2868,130), Tue Jun  5 18:55:33 ICT 2012
QED, ineq(4047599236), secs(9),  cells(27290), svn(2866:2868,130), Tue Jun  5 18:55:47 ICT 2012
QED, ineq(7726998381), secs(43),  cells(83026), svn(2866:2868,130), Tue Jun  5 18:56:35 ICT 2012
QED, ineq(7394240696), secs(52),  cells(99120), svn(2866:2868,130), Tue Jun  5 18:57:33 ICT 2012
QED, ineq(1395142356), secs(218),  cells(272096), svn(2866:2868,130), Tue Jun  5 19:01:16 ICT 2012
QED, ineq(4667071578), secs(15),  cells(28972), svn(2866:2868,130), Tue Jun  5 19:01:36 ICT 2012
QED, ineq(8519146937), secs(20),  cells(37886), svn(2866:2868,130), Tue Jun  5 19:02:02 ICT 2012
QED, ineq(3296257235), secs(28),  cells(50770), svn(2866:2868,130), Tue Jun  5 19:02:34 ICT 2012
QED, ineq(5490182221), secs(1),  cells(9988), svn(2866:2868,130), Tue Jun  5 19:02:40 ICT 2012
QED, ineq(5735387903), secs(1),  cells(12888), svn(2866:2868,130), Tue Jun  5 19:02:45 ICT 2012
QED, ineq(9563139965 f), secs(3),  cells(6232), svn(2866:2868,130), Tue Jun  5 19:02:53 ICT 2012
QED, ineq(9563139965 e), secs(1),  cells(1260), svn(2866:2868,130), Tue Jun  5 19:02:59 ICT 2012
QED, ineq(9563139965 d), secs(28),  cells(42050), svn(2866:2868,130), Tue Jun  5 19:03:31 ICT 2012
QED, ineq(5691615370), secs(294),  cells(1417334), svn(2866:2868,130), Tue Jun  5 19:08:31 ICT 2012
QED, ineq(3862621143 back), secs(11),  cells(21390), svn(2866:2868,130), Tue Jun  5 19:08:47 ICT 2012
QED, ineq(3862621143 front), secs(9),  cells(18686), svn(2866:2868,130), Tue Jun  5 19:09:01 ICT 2012
